"State","Area.Code","Phone","Account.Length","VMail.Message","Day.Mins","Eve.Mins","Night.Mins","Intl.Mins","CustServ.Calls","Intl.Plan","VMail.Plan","Day.Calls","Day.Charge","Eve.Calls","Eve.Charge","Night.Calls","Night.Charge","Intl.Calls","Intl.Charge","Churn"
"KS",415,3824657,128,25,265.1,197.4,244.7,10,1,0,1,110,45.07,99,16.78,91,11.01,3,2.7,"0"
"OH",415,3717191,107,26,161.6,195.5,254.4,13.7,1,0,1,123,27.47,103,16.62,103,11.45,3,3.7,"0"
"NJ",415,3581921,137,0,243.4,121.2,162.6,12.2,0,0,0,114,41.38,110,10.3,104,7.32,5,3.29,"0"
"OH",408,3759999,84,0,299.4,61.9,196.9,6.6,2,1,0,71,50.9,88,5.26,89,8.86,7,1.78,"0"
"AL",510,3918027,118,0,223.4,220.6,203.9,6.3,0,1,0,98,37.98,101,18.75,118,9.18,6,1.7,"0"
"MA",510,3559993,121,24,218.2,348.5,212.6,7.5,3,0,1,88,37.09,108,29.62,118,9.57,7,2.03,"0"
"MO",415,3299001,147,0,157,103.1,211.8,7.1,0,1,0,79,26.69,94,8.76,96,9.53,6,1.92,"0"
"LA",408,3354719,117,0,184.5,351.6,215.8,8.7,1,0,0,97,31.37,80,29.89,90,9.71,4,2.35,"0"
"IN",415,3296603,65,0,129.1,228.5,208.8,12.7,4,0,0,137,21.95,83,19.42,111,9.4,6,3.43,"1"
"IA",408,3631107,168,0,128.8,104.9,141.1,11.2,1,0,0,96,21.9,71,8.92,128,6.35,2,3.02,"0"
"IA",415,3669238,62,0,120.7,307.2,203,13.1,4,0,0,70,20.52,76,26.11,99,9.14,6,3.54,"0"
"NY",415,3517269,161,0,332.9,317.8,160.6,5.4,4,0,0,67,56.59,97,27.01,128,7.23,9,1.46,"1"
"VA",510,3562992,76,33,189.7,212.8,165.7,10,1,0,1,66,32.25,65,18.09,108,7.46,5,2.7,"0"
"TX",415,3732782,73,0,224.4,159.5,192.8,13,1,0,0,90,38.15,88,13.56,74,8.68,2,3.51,"0"
"CO",408,3937984,77,0,62.4,169.9,209.6,5.7,5,0,0,89,10.61,121,14.44,64,9.43,6,1.54,"1"
"AZ",415,3581958,130,0,183,72.9,181.8,9.5,0,0,0,112,31.11,99,6.2,78,8.18,19,2.57,"0"
